trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-130.02811162550978,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",30,0,-219.69409055021723,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 4}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-50.13909633610297,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,8,-25.435697108811326,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,12,-84.56539018751639,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 2}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-41.39640201114343,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,14,-28.16553727719796,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,1,-130.46299820342384,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 2}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,10,2.4291108934675285,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",30,18,-33.25751982316078,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,0,-109.76248126766048,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,0,-104.955361859634,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,17,-8.710811909737675,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,2,-71.77762918613186,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",25,0,-46.20781864362616,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,0,-34.10476807952563,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,2,-46.207325239790286,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,7,-15.656893194617497,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,0,-48.74610554972627,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,16,3.6231304212310302,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,6,-19.347059764405792,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,0,-10.367158115653172,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
